Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
AJG,Arthur J. Gallagher & Co.,AJG,Arthur J. Gallagher & Co.,Active,Financial Services,,,Insurance Brokers,Stock,Financial Services,Insurance Brokers,Financial Services,Insurance Brokers
NSC,Norfolk Southern Corporation,NSC,Norfolk Southern Corporation,Active,Industrials,,,Railroads,Stock,Industrials,Railroads,Industrials,Railroads
TFC,Truist Financial Corporation,TFC,Truist Financial Corporation,Active,Financial Services,,,Banks - Regional,Stock,Financial Services,Banks - Regional,Financial Services,Banks - Regional
FTNT,"Fortinet, Inc.",FTNT,"Fortinet, Inc.",Active,Technology,,,Software - Infrastructure,Stock,Technology,Software - Infrastructure,Technology,Software - Infrastructure
SLB,Schlumberger N.V.,SLB,Schlumberger Limited,Active,Energy,,,Oil & Gas Equipment & Services,Stock,Energy,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services
RCL,Royal Caribbean Cruises Ltd.,RCL,Royal Caribbean Cruises Ltd.,Active,Consumer Cyclical,,,Travel Services,Stock,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services
PCAR,PACCAR Inc.,PCAR,PACCAR Inc,Active,Industrials,,,Farm & Heavy Construction Machinery,Stock,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery
ROP,"Roper Technologies, Inc.",ROP,"Roper Technologies, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
GM,General Motors Company,GM,General Motors Company,Active,Consumer Cyclical,,,Auto Manufacturers,Stock,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers
AFL,AFLAC Incorporated,AFL,Aflac Incorporated,Active,Financial Services,,,Insurance - Life,Stock,Financial Services,Insurance - Life,Financial Services,Insurance - Life
HLT,Hilton Worldwide Holdings Inc.,HLT,Hilton Worldwide Holdings Inc.,Active,Consumer Cyclical,,,Lodging,Stock,Consumer Cyclical,Lodging,Consumer Cyclical,Lodging
OKE,"ONEOK, Inc.",OKE,"ONEOK, Inc.",Active,Energy,,,Oil & Gas Midstream,Stock,Energy,Oil & Gas Midstream,Energy,Oil & Gas Midstream
NXPI,NXP Semiconductors N.V.,NXPI,NXP Semiconductors N.V.,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
DLR,"Digital Realty Trust, Inc.",DLR,"Digital Realty Trust, Inc.",Active,Real Estate,,,REIT - Specialty,Stock,Real Estate,REIT - Specialty,Real Estate,REIT - Specialty
KMI,"Kinder Morgan, Inc.",KMI,"Kinder Morgan, Inc.",Active,Energy,,,Oil & Gas Midstream,Stock,Energy,Oil & Gas Midstream,Energy,Oil & Gas Midstream
GWW,"W.W. Grainger, Inc.",GWW,"W.W. Grainger, Inc.",Active,Industrials,,,Industrial Distribution,Stock,Industrials,Industrial Distribution,Industrials,Industrial Distribution
CHTR,"Charter Communications, Inc.",CHTR,"Charter Communications, Inc.",Active,Communication Services,,,Telecom Services,Stock,Communication Services,Telecom Services,Communication Services,Telecom Services
URI,"United Rentals, Inc.",URI,"United Rentals, Inc.",Active,Industrials,,,Rental & Leasing Services,Stock,Industrials,Rental & Leasing Services,Industrials,Rental & Leasing Services
TRV,"The Travelers Companies, Inc.",TRV,"The Travelers Companies, Inc.",Active,Financial Services,,,Insurance - Property & Casualty,Stock,Financial Services,Insurance - Property & Casualty,Financial Services,Insurance - Property & Casualty
MET,"MetLife, Inc.",MET,"MetLife, Inc.",Active,Financial Services,,,Insurance - Life,Stock,Financial Services,Insurance - Life,Financial Services,Insurance - Life
PSA,Public Storage,PSA,Public Storage,Active,Real Estate,,,REIT - Industrial,Stock,Real Estate,REIT - Industrial,Real Estate,REIT - Industrial
BK,The Bank of New York Mellon Cor,BK,The Bank of New York Mellon Corporation,Active,Financial Services,,,Banks - Diversified,Stock,Financial Services,Banks - Diversified,Financial Services,Banks - Diversified
SRE,DBA Sempra,SRE,Sempra,Active,Utilities,,,Utilities - Diversified,Stock,Utilities,Utilities - Diversified,Utilities,Utilities - Diversified
AMP,"Ameriprise Financial, Inc.",AMP,"Ameriprise Financial, Inc.",Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
JCI,Johnson Controls International ,JCI,Johnson Controls International plc,Active,Industrials,,,Building Products & Equipment,Stock,Industrials,Building Products & Equipment,Industrials,Building Products & Equipment
AZO,"AutoZone, Inc.",AZO,"AutoZone, Inc.",Active,Consumer Cyclical,,,Specialty Retail,Stock,Consumer Cyclical,Specialty Retail,Consumer Cyclical,Specialty Retail
DHI,"D.R. Horton, Inc.",DHI,"D.R. Horton, Inc.",Active,Consumer Cyclical,,,Residential Construction,Stock,Consumer Cyclical,Residential Construction,Consumer Cyclical,Residential Construction
FANG,"Diamondback Energy, Inc.",FANG,"Diamondback Energy, Inc.",Active,Energy,,,Oil & Gas E&P,Stock,Energy,Oil & Gas E&P,Energy,Oil & Gas E&P
PAYX,"Paychex, Inc.",PAYX,"Paychex, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
CPRT,"Copart, Inc.",CPRT,"Copart, Inc.",Active,Industrials,,,Specialty Business Services,Stock,Industrials,Specialty Business Services,Industrials,Specialty Business Services
MNST,Monster Beverage Corporation,MNST,Monster Beverage Corporation,Active,Consumer Defensive,,,Beverages - Non-Alcoholic,Stock,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Defensive,Beverages - Non-Alcoholic
PCG,Pacific Gas & Electric Co.,PCG,PG&E Corporation,Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
PSX,Phillips 66,PSX,Phillips 66,Active,Energy,,,Oil & Gas Refining & Marketing,Stock,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing
FICO,Fair Isaac Corporation,FICO,Fair Isaac Corporation,Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
AEP,American Electric Power Company,AEP,"American Electric Power Company, Inc.",Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
NEM,Newmont Corporation,NEM,Newmont Corporation,Active,Basic Materials,,,Gold,Stock,Basic Materials,Gold,Basic Materials,Gold
ALL,Allstate Corporation (The),ALL,The Allstate Corporation,Active,Financial Services,,,Insurance - Property & Casualty,Stock,Financial Services,Insurance - Property & Casualty,Financial Services,Insurance - Property & Casualty
MPC,Marathon Petroleum Corporation,MPC,Marathon Petroleum Corporation,Active,Energy,,,Oil & Gas Refining & Marketing,Stock,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing
O,Realty Income Corporation,O,Realty Income Corporation,Active,Real Estate,,,REIT - Retail,Stock,Real Estate,REIT - Retail,Real Estate,REIT - Retail
ODFL,"Old Dominion Freight Line, Inc.",ODFL,"Old Dominion Freight Line, Inc.",Active,Industrials,,,Trucking,Stock,Industrials,Trucking,Industrials,Trucking
CMI,Cummins Inc.,CMI,Cummins Inc.,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
LHX,"L3Harris Technologies, Inc.",LHX,"L3Harris Technologies, Inc.",Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
AIG,"American International Group, I",AIG,"American International Group, Inc.",Active,Financial Services,,,Insurance - Diversified,Stock,Financial Services,Insurance - Diversified,Financial Services,Insurance - Diversified
COR,"Cencora, Inc.",COR,"Cencora, Inc.",Active,Healthcare,,,Medical Distribution,Stock,Healthcare,Medical Distribution,Healthcare,Medical Distribution
OXY,Occidental Petroleum Corporatio,OXY,Occidental Petroleum Corporation,Active,Energy,,,Oil & Gas E&P,Stock,Energy,Oil & Gas E&P,Energy,Oil & Gas E&P
D,"Dominion Energy, Inc.",D,"Dominion Energy, Inc.",Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
FAST,Fastenal Company,FAST,Fastenal Company,Active,Industrials,,,Industrial Distribution,Stock,Industrials,Industrial Distribution,Industrials,Industrial Distribution
HWM,Howmet Aerospace Inc.,HWM,Howmet Aerospace Inc.,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
FIS,Fidelity National Information S,FIS,"Fidelity National Information Services, Inc.",Active,Technology,,,Information Technology Services,Stock,Technology,Information Technology Services,Technology,Information Technology Services
TEL,TE Connectivity plc,TEL,TE Connectivity plc,Active,Technology,,,Electronic Components,Stock,Technology,Electronic Components,Technology,Electronic Components
ROST,"Ross Stores, Inc.",ROST,"Ross Stores, Inc.",Active,Consumer Cyclical,,,Apparel Retail,Stock,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail
PWR,"Quanta Services, Inc.",PWR,"Quanta Services, Inc.",Active,Industrials,,,Engineering & Construction,Stock,Industrials,Engineering & Construction,Industrials,Engineering & Construction
DFS,Discover Financial Services,DFS,Discover Financial Services,Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
PRU,"Prudential Financial, Inc.",PRU,"Prudential Financial, Inc.",Active,Financial Services,,,Insurance - Life,Stock,Financial Services,Insurance - Life,Financial Services,Insurance - Life
LEN,Lennar Corporation,LEN,Lennar Corporation,Active,Consumer Cyclical,,,Residential Construction,Stock,Consumer Cyclical,Residential Construction,Consumer Cyclical,Residential Construction
MSCI,MSCI Inc.,MSCI,MSCI Inc.,Active,Financial Services,,,Financial Data & Stock Exchanges,Stock,Financial Services,Financial Data & Stock Exchanges,Financial Services,Financial Data & Stock Exchanges
CCI,Crown Castle Inc.,CCI,Crown Castle Inc.,Active,Real Estate,,,REIT - Specialty,Stock,Real Estate,REIT - Specialty,Real Estate,REIT - Specialty
KDP,Keurig Dr Pepper Inc.,KDP,Keurig Dr Pepper Inc.,Active,Consumer Defensive,,,Beverages - Non-Alcoholic,Stock,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Defensive,Beverages - Non-Alcoholic
NDAQ,"Nasdaq, Inc.",NDAQ,"Nasdaq, Inc.",Active,Financial Services,,,Financial Data & Stock Exchanges,Stock,Financial Services,Financial Data & Stock Exchanges,Financial Services,Financial Data & Stock Exchanges
F,Ford Motor Company,F,Ford Motor Company,Active,Consumer Cyclical,,,Auto Manufacturers,Stock,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers
AME,"AMETEK, Inc.",AME,"AMETEK, Inc.",Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
HES,Hess Corporation,HES,Hess Corporation,Active,Energy,,,Oil & Gas E&P,Stock,Energy,Oil & Gas E&P,Energy,Oil & Gas E&P
VLO,Valero Energy Corporation,VLO,Valero Energy Corporation,Active,Energy,,,Oil & Gas Refining & Marketing,Stock,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing
KMB,Kimberly-Clark Corporation,KMB,Kimberly-Clark Corporation,Active,Consumer Defensive,,,Household & Personal Products,Stock,Consumer Defensive,Household & Personal Products,Consumer Defensive,Household & Personal Products
VST,Vistra Corp.,VST,Vistra Corp.,Active,Utilities,,,Utilities - Independent Power Producers,Stock,Utilities,Utilities - Independent Power Producers,Utilities,Utilities - Independent Power Producers
KR,Kroger Company (The),KR,The Kroger Co.,Active,Consumer Defensive,,,Grocery Stores,Stock,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores
KVUE,Kenvue Inc.,KVUE,Kenvue Inc.,Active,Consumer Defensive,,,Household & Personal Products,Stock,Consumer Defensive,Household & Personal Products,Consumer Defensive,Household & Personal Products
CTVA,"Corteva, Inc.",CTVA,"Corteva, Inc.",Active,Basic Materials,,,Agricultural Inputs,Stock,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs
BKR,Baker Hughes Company,BKR,Baker Hughes Company,Active,Energy,,,Oil & Gas Equipment & Services,Stock,Energy,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services
PEG,Public Service Enterprise Group,PEG,Public Service Enterprise Group Incorporated,Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
STZ,"Constellation Brands, Inc.",STZ,"Constellation Brands, Inc.",Active,Consumer Defensive,,,Beverages - Brewers,Stock,Consumer Defensive,Beverages - Brewers,Consumer Defensive,Beverages - Brewers
IR,Ingersoll Rand Inc.,IR,Ingersoll Rand Inc.,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
EA,Electronic Arts Inc.,EA,Electronic Arts Inc.,Active,Communication Services,,,Electronic Gaming & Multimedia,Stock,Communication Services,Electronic Gaming & Multimedia,Communication Services,Electronic Gaming & Multimedia
IT,"Gartner, Inc.",IT,"Gartner, Inc.",Active,Technology,,,Information Technology Services,Stock,Technology,Information Technology Services,Technology,Information Technology Services
GLW,Corning Incorporated,GLW,Corning Incorporated,Active,Technology,,,Electronic Components,Stock,Technology,Electronic Components,Technology,Electronic Components
TRGP,"Targa Resources, Inc.",TRGP,Targa Resources Corp.,Active,Energy,,,Oil & Gas Midstream,Stock,Energy,Oil & Gas Midstream,Energy,Oil & Gas Midstream
KHC,The Kraft Heinz Company,KHC,The Kraft Heinz Company,Active,Consumer Defensive,,,Packaged Foods,Stock,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods
GRMN,Garmin Ltd.,GRMN,Garmin Ltd.,Active,Technology,,,Scientific & Technical Instruments,Stock,Technology,Scientific & Technical Instruments,Technology,Scientific & Technical Instruments
DAL,"Delta Air Lines, Inc.",DAL,"Delta Air Lines, Inc.",Active,Industrials,,,Airlines,Stock,Industrials,Airlines,Industrials,Airlines
OTIS,Otis Worldwide Corporation,OTIS,Otis Worldwide Corporation,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
IQV,"IQVIA Holdings, Inc.",IQV,IQVIA Holdings Inc.,Active,Healthcare,,,Diagnostics & Research,Stock,Healthcare,Diagnostics & Research,Healthcare,Diagnostics & Research
NUE,Nucor Corporation,NUE,Nucor Corporation,Active,Basic Materials,,,Steel,Stock,Basic Materials,Steel,Basic Materials,Steel
GEHC,GE HealthCare Technologies Inc.,GEHC,GE HealthCare Technologies Inc.,Active,Healthcare,,,Health Information Services,Stock,Healthcare,Health Information Services,Healthcare,Health Information Services
EW,Edwards Lifesciences Corporatio,EW,Edwards Lifesciences Corporation,Active,Healthcare,,,Medical Devices,Stock,Healthcare,Medical Devices,Healthcare,Medical Devices
MCHP,Microchip Technology Incorporat,MCHP,Microchip Technology Incorporated,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
CBRE,CBRE Group Inc,CBRE,"CBRE Group, Inc.",Active,Real Estate,,,Real Estate Services,Stock,Real Estate,Real Estate Services,Real Estate,Real Estate Services
A,"Agilent Technologies, Inc.",A,"Agilent Technologies, Inc.",Active,Healthcare,,,Diagnostics & Research,Stock,Healthcare,Diagnostics & Research,Healthcare,Diagnostics & Research
VRSK,"Verisk Analytics, Inc.",VRSK,"Verisk Analytics, Inc.",Active,Industrials,,,Consulting Services,Stock,Industrials,Consulting Services,Industrials,Consulting Services
CTSH,Cognizant Technology Solutions ,CTSH,Cognizant Technology Solutions Corporation,Active,Technology,,,Information Technology Services,Stock,Technology,Information Technology Services,Technology,Information Technology Services
EXC,Exelon Corporation,EXC,Exelon Corporation,Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
LULU,lululemon athletica inc.,LULU,Lululemon Athletica Inc.,Active,Consumer Cyclical,,,Apparel Retail,Stock,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail
VMC,Vulcan Materials Company (Holdi,VMC,Vulcan Materials Company,Active,Basic Materials,,,Building Materials,Stock,Basic Materials,Building Materials,Basic Materials,Building Materials
MPWR,"Monolithic Power Systems, Inc.",MPWR,"Monolithic Power Systems, Inc.",Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
ACGL,Arch Capital Group Ltd.,ACGL,Arch Capital Group Ltd.,Active,Financial Services,,,Insurance - Diversified,Stock,Financial Services,Insurance - Diversified,Financial Services,Insurance - Diversified
XEL,Xcel Energy Inc.,XEL,Xcel Energy Inc.,Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
SYY,Sysco Corporation,SYY,Sysco Corporation,Active,Consumer Defensive,,,Food Distribution,Stock,Consumer Defensive,Food Distribution,Consumer Defensive,Food Distribution
MLM,"Martin Marietta Materials, Inc.",MLM,"Martin Marietta Materials, Inc.",Active,Basic Materials,,,Building Materials,Stock,Basic Materials,Building Materials,Basic Materials,Building Materials
YUM,"Yum! Brands, Inc.",YUM,"Yum! Brands, Inc.",Active,Consumer Cyclical,,,Restaurants,Stock,Consumer Cyclical,Restaurants,Consumer Cyclical,Restaurants
LVS,Las Vegas Sands Corp.,LVS,Las Vegas Sands Corp.,Active,Consumer Cyclical,,,Resorts & Casinos,Stock,Consumer Cyclical,Resorts & Casinos,Consumer Cyclical,Resorts & Casinos
GIS,"General Mills, Inc.",GIS,"General Mills, Inc.",Active,Consumer Defensive,,,Packaged Foods,Stock,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods
RMD,ResMed Inc.,RMD,ResMed Inc.,Active,Healthcare,,,Medical Instruments & Supplies,Stock,Healthcare,Medical Instruments & Supplies,Healthcare,Medical Instruments & Supplies
MTB,M&T Bank Corporation,MTB,M&T Bank Corporation,Active,Financial Services,,,Banks - Regional,Stock,Financial Services,Banks - Regional,Financial Services,Banks - Regional
HSY,The Hershey Company,HSY,The Hershey Company,Active,Consumer Defensive,,,Confectioners,Stock,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners
HPQ,HP Inc.,HPQ,HP Inc.,Active,Technology,,,Computer Hardware,Stock,Technology,Computer Hardware,Technology,Computer Hardware
EXR,Extra Space Storage Inc,EXR,Extra Space Storage Inc.,Active,Real Estate,,,REIT - Industrial,Stock,Real Estate,REIT - Industrial,Real Estate,REIT - Industrial
DD,"DuPont de Nemours, Inc.",DD,"DuPont de Nemours, Inc.",Active,Basic Materials,,,Specialty Chemicals,Stock,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals
HUM,Humana Inc.,HUM,Humana Inc.,Active,Healthcare,,,Healthcare Plans,Stock,Healthcare,Healthcare Plans,Healthcare,Healthcare Plans
AXON,"Axon Enterprise, Inc.",AXON,"Axon Enterprise, Inc.",Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
IDXX,"IDEXX Laboratories, Inc.",IDXX,"IDEXX Laboratories, Inc.",Active,Healthcare,,,Diagnostics & Research,Stock,Healthcare,Diagnostics & Research,Healthcare,Diagnostics & Research
WAB,Westinghouse Air Brake Technolo,WAB,Westinghouse Air Brake Technologies Corporation,Active,Industrials,,,Railroads,Stock,Industrials,Railroads,Industrials,Railroads
ED,"Consolidated Edison, Inc.",ED,"Consolidated Edison, Inc.",Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
DOW,Dow Inc.,DOW,Dow Inc.,Active,Basic Materials,,,Chemicals,Stock,Basic Materials,Chemicals,Basic Materials,Chemicals
HIG,Hartford Financial Services Gro,HIG,"The Hartford Financial Services Group, Inc.",Active,Financial Services,,,Insurance - Property & Casualty,Stock,Financial Services,Insurance - Property & Casualty,Financial Services,Insurance - Property & Casualty
IRM,Iron Mountain Incorporated (Del,IRM,Iron Mountain Incorporated,Active,Real Estate,,,REIT - Specialty,Stock,Real Estate,REIT - Specialty,Real Estate,REIT - Specialty
ROK,"Rockwell Automation, Inc.",ROK,"Rockwell Automation, Inc.",Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
VICI,VICI Properties Inc.,VICI,VICI Properties Inc.,Active,Real Estate,,,REIT - Diversified,Stock,Real Estate,REIT - Diversified,Real Estate,REIT - Diversified
EFX,"Equifax, Inc.",EFX,Equifax Inc.,Active,Industrials,,,Consulting Services,Stock,Industrials,Consulting Services,Industrials,Consulting Services
RJF,"Raymond James Financial, Inc.",RJF,"Raymond James Financial, Inc.",Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
CCL,Carnival Corporation,CCL,Carnival Corporation & plc,Active,Consumer Cyclical,,,Travel Services,Stock,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services
AVB,"AvalonBay Communities, Inc.",AVB,"AvalonBay Communities, Inc.",Active,Real Estate,,,REIT - Residential,Stock,Real Estate,REIT - Residential,Real Estate,REIT - Residential
WTW,Willis Towers Watson Public Lim,WTW,Willis Towers Watson Public Limited Company,Active,Financial Services,,,Insurance Brokers,Stock,Financial Services,Insurance Brokers,Financial Services,Insurance Brokers
FITB,Fifth Third Bancorp,FITB,Fifth Third Bancorp,Active,Financial Services,,,Banks - Regional,Stock,Financial Services,Banks - Regional,Financial Services,Banks - Regional
BRO,"Brown & Brown, Inc.",BRO,"Brown & Brown, Inc.",Active,Financial Services,,,Insurance Brokers,Stock,Financial Services,Insurance Brokers,Financial Services,Insurance Brokers
CNC,Centene Corporation,CNC,Centene Corporation,Active,Healthcare,,,Healthcare Plans,Stock,Healthcare,Healthcare Plans,Healthcare,Healthcare Plans
EIX,Edison International,EIX,Edison International,Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
ETR,Entergy Corporation,ETR,Entergy Corporation,Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
TSCO,Tractor Supply Company,TSCO,Tractor Supply Company,Active,Consumer Cyclical,,,Specialty Retail,Stock,Consumer Cyclical,Specialty Retail,Consumer Cyclical,Specialty Retail
ON,ON Semiconductor Corporation,ON,ON Semiconductor Corporation,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
CSGP,"CoStar Group, Inc.",CSGP,"CoStar Group, Inc.",Active,Real Estate,,,Real Estate Services,Stock,Real Estate,Real Estate Services,Real Estate,Real Estate Services
WEC,"WEC Energy Group, Inc.",WEC,"WEC Energy Group, Inc.",Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
XYL,Xylem Inc.,XYL,Xylem Inc.,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
MTD,"Mettler-Toledo International, I",MTD,Mettler-Toledo International Inc.,Active,Healthcare,,,Diagnostics & Research,Stock,Healthcare,Diagnostics & Research,Healthcare,Diagnostics & Research
GPN,Global Payments Inc.,GPN,Global Payments Inc.,Active,Industrials,,,Specialty Business Services,Stock,Industrials,Specialty Business Services,Industrials,Specialty Business Services
EBAY,eBay Inc.,EBAY,eBay Inc.,Active,Consumer Cyclical,,,Internet Retail,Stock,Consumer Cyclical,Internet Retail,Consumer Cyclical,Internet Retail
LYV,"Live Nation Entertainment, Inc.",LYV,"Live Nation Entertainment, Inc.",Active,Communication Services,,,Entertainment,Stock,Communication Services,Entertainment,Communication Services,Entertainment
TTWO,"Take-Two Interactive Software, ",TTWO,"Take-Two Interactive Software, Inc.",Active,Communication Services,,,Electronic Gaming & Multimedia,Stock,Communication Services,Electronic Gaming & Multimedia,Communication Services,Electronic Gaming & Multimedia
PPG,"PPG Industries, Inc.",PPG,"PPG Industries, Inc.",Active,Basic Materials,,,Specialty Chemicals,Stock,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals
ANSS,"ANSYS, Inc.",ANSS,"ANSYS, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
UAL,"United Airlines Holdings, Inc.",UAL,"United Airlines Holdings, Inc.",Active,Industrials,,,Airlines,Stock,Industrials,Airlines,Industrials,Airlines
STT,State Street Corporation,STT,State Street Corporation,Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
NVR,"NVR, Inc.",NVR,"NVR, Inc.",Active,Consumer Cyclical,,,Residential Construction,Stock,Consumer Cyclical,Residential Construction,Consumer Cyclical,Residential Construction
KEYS,Keysight Technologies Inc.,KEYS,"Keysight Technologies, Inc.",Active,Technology,,,Scientific & Technical Instruments,Stock,Technology,Scientific & Technical Instruments,Technology,Scientific & Technical Instruments
LYB,LyondellBasell Industries NV,LYB,LyondellBasell Industries N.V.,Active,Basic Materials,,,Specialty Chemicals,Stock,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals
CAH,"Cardinal Health, Inc.",CAH,"Cardinal Health, Inc.",Active,Healthcare,,,Medical Distribution,Stock,Healthcare,Medical Distribution,Healthcare,Medical Distribution
EQR,Equity Residential,EQR,Equity Residential,Active,Real Estate,,,REIT - Residential,Stock,Real Estate,REIT - Residential,Real Estate,REIT - Residential
K,Kellanova,K,Kellanova,Active,Consumer Defensive,,,Packaged Foods,Stock,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods
DOV,Dover Corporation,DOV,Dover Corporation,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
HPE,Hewlett Packard Enterprise Comp,HPE,Hewlett Packard Enterprise Company,Active,Technology,,,Communication Equipment,Stock,Technology,Communication Equipment,Technology,Communication Equipment
SW,Smurfit WestRock plc,SW,Smurfit Westrock Plc,Active,Consumer Cyclical,,,Packaging & Containers,Stock,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers
CDW,CDW Corporation,CDW,CDW Corporation,Active,Technology,,,Information Technology Services,Stock,Technology,Information Technology Services,Technology,Information Technology Services
TROW,"T. Rowe Price Group, Inc.",TROW,"T. Rowe Price Group, Inc.",Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
HAL,Halliburton Company,HAL,Halliburton Company,Active,Energy,,,Oil & Gas Equipment & Services,Stock,Energy,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services
DXCM,"DexCom, Inc.",DXCM,"DexCom, Inc.",Active,Healthcare,,,Medical Devices,Stock,Healthcare,Medical Devices,Healthcare,Medical Devices
VTR,"Ventas, Inc.",VTR,"Ventas, Inc.",Active,Real Estate,,,REIT - Healthcare Facilities,Stock,Real Estate,REIT - Healthcare Facilities,Real Estate,REIT - Healthcare Facilities
PHM,"PulteGroup, Inc.",PHM,"PulteGroup, Inc.",Active,Consumer Cyclical,,,Residential Construction,Stock,Consumer Cyclical,Residential Construction,Consumer Cyclical,Residential Construction
DVN,Devon Energy Corporation,DVN,Devon Energy Corporation,Active,Energy,,,Oil & Gas E&P,Stock,Energy,Oil & Gas E&P,Energy,Oil & Gas E&P
SYF,Synchrony Financial,SYF,Synchrony Financial,Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
AWK,"American Water Works Company, I",AWK,"American Water Works Company, Inc.",Active,Utilities,,,Utilities - Regulated Water,Stock,Utilities,Utilities - Regulated Water,Utilities,Utilities - Regulated Water
